id,Region/Country/Area,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Dummy Description
113,Lao People's Dem. Rep.,30.6,7.2,32.6,7.53,3.73,3.79,101.6,Lao People's Dem. Rep. is a country in the UN populations dataset.
114,Latvia,15.6,29.1,29.7,1.85,0.99,0.86,86.5,Latvia is a country in the UN populations dataset.
115,Lebanon,27.4,14.4,536.6,5.49,2.83,2.66,94.2,Lebanon is a country in the UN populations dataset.
116,Lesotho,34.0,6.6,75.9,2.31,1.17,1.14,97.4,Lesotho is a country in the UN populations dataset.
117,Liberia,40.5,5.1,55.1,5.30,2.66,2.64,99.2,Liberia is a country in the UN populations dataset.
118,Libya,28.3,7.7,4.1,6.81,3.37,3.45,102.4,Libya is a country in the UN populations dataset.
119,Liechtenstein,14.5,26.6,245.8,0.04,0.02,0.02,98.4,Liechtenstein is a country in the UN populations dataset.
120,Lithuania,15.3,28.5,43.9,2.75,1.46,1.29,88.6,Lithuania is a country in the UN populations dataset.
121,Luxembourg,15.8,20.8,250.0,0.65,0.32,0.33,101.3,Luxembourg is a country in the UN populations dataset.
122,Madagascar,39.1,5.3,50.9,29.61,14.78,14.84,100.4,Madagascar is a country in the UN populations dataset.
123,Malawi,42.6,3.8,215.8,20.41,10.48,9.92,94.7,Malawi is a country in the UN populations dataset.
124,Malaysia,22.7,11.4,103.3,33.94,16.6,17.34,104.5,Malaysia is a country in the UN populations dataset.
125,Maldives,21.7,7.8,1746.0,0.52,0.22,0.3,135.4,Maldives is a country in the UN populations dataset.
